Workspace,Store,Layer,Description,URI,Default Style,Observable Concept,Observation Concept,Units,Native SRS,Declared SRS,PublicPrivate,CommercialUse,Comments,Contact
,,soils_CORINE,FAO Unesco Soil Map,postgis:/raid/geodata/data/europe/soils_CORINE/Soilmap_CORINE.shp,polygon,,observation:Categorization,,EPSG:4326,EPSG:4326,Public,yes,CORINE data,
dominican,,,,,,,,,,,,,,
,floodplain_veg_cover_dr,floodplain_veg_dr,Dartmouth Flood Observatory flood extents plus UMD-GLCF tree canopy data,file:/raid/geodata/coverages/dominican_republic/floodplain_vegetation_cover/dr_fp_veg.tif,raster,habitat:PercentFloodplainVegetationCover,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,,
,LULC_dr,LULC_dr,Deutsche Gesellschaft fur Technische Zusammenarbeit (GTZ),file:/raid/geodata/coverages/dominican_republic/LULC/DR_lulc.tif,raster,domlulc:DOMLULCNumeric,measurement:NumericCoding,,EPSG:32619,EPSG:32619,Uncertain,No,Lee is following up with GTZ,
,stream_gradient_dr,stream_gradient_dr,Derived from Digital Chart of the World hydrography and SRTM slope layers,file:/raid/geodata/coverages/dominican_republic/stream_gradient/str_gradient.tif,raster,habitat:StreamGradient,measurement:Measurement,°,EPSG:4326,EPSG:4326,Public,Yes,,
,dominican,,PostGIS database: dominican,postgis:dominican,,,,,,,,,,
,,coffee_farms_dr,,postgis:/raid/geodata/data/dominican_republic/coffee_farms/coffee_farms.shp,polygon,soilRetentionService:FarmlandCode,measurement:BinaryCoding,,EPSG:32619,EPSG:32619,Uncertain,No,Lee is following up with GTZ,
,,hydrography_dr,,postgis:/raid/geodata/data/dominican_republic/rivers/rios_prj.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,,
,,reservoirs_dr2,Digitized reservoirs for NW DR,postgis:/raid/geodata/data/dominican_republic/reservoirs/presas2.shp,polygon,soilRetentionService:HydroelectricUsePresence,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Data developed by the ARIES Consortium,
mg,,,,,,,,,,,,,,
,dams_africa,dams_africa,Reservoirs derived from FAO AQUASTAT dams,file:/raid/geodata/coverages/mg/dams/Africa_dams3.tif,raster,geofeatures:Reservoir,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,No,"""Reproduction and dissemination of material contained in AQUASTAT for educational or other non-commercial purposes are authorized without any prior written permission from copyright holders provided the source is fully acknowledged"" (http://www.fao.org/nr/water/aquastat/common/AQUASTAT_User_Agreement.pdf)",
,deforestation4_mg,deforestation4_mg,University of Maryland-GLCF MODIS Vegetative Cover Conversion,file:/raid/geodata/coverages/mg/deforestation2/MgDeforest4.tif,raster,carbonService:DeforestationRisk,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,University of Maryland; Department of Geography; use is free to all if acknowledgement is made. UMD holds ultimate copyright.,
,distance_to_coast,dist_to_coast_mg,Derived from FTM coastline data,file:/raid/geodata/coverages/mg/coast/DistToCoast_Clip.tif,raster,fisheries:DistanceToCoast,measurement:Measurement,km,EPSG:29700,EPSG:29700,Public,Yes,Ferd to double check but should be OK here,
,floodplain_veg_cover_mg,floodplain_veg_mg,Dartmouth Flood Observatory flood extents plus UMD-GLCF tree canopy data,file:/raid/geodata/coverages/mg/floodplain_vegetation_cover/FloodplainVegMg.tif,raster,habitat:PercentFloodplainVegetationCover,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,,
,hydro_dams_africa,hydro_dams_africa,FAO AQUASTAT dams,file:/raid/geodata/coverages/mg/dams/HydroDams.tif,raster,soilRetentionService:HydroelectricUseLevel,measurement:Measurement,m^3,EPSG:4326,EPSG:4326,Public,No,"""Reproduction and dissemination of material contained in AQUASTAT for educational or other non-commercial purposes are authorized without any prior written permission from copyright holders provided the source is fully acknowledged"" (http://www.fao.org/nr/water/aquastat/common/AQUASTAT_User_Agreement.pdf)",
,lulc_mg,lulc_mg,Foiben-Taosarintanini Madagasikara (FTM),file:/raid/geodata/coverages/mg/lulc/os3.tif,raster,mglulc:MGLULCNumeric,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,Ferd to double check but should be OK here,
,port_mg,port_mg,Foiben-Taosarintanini Madagasikara (FTM),file:/raid/geodata/coverages/mg/port/port2_Project.tif,raster,infrastructure:Port,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,Ferd to double check but should be OK here,
,stream_gradient_mg,stream_gradient_mg,Derived from FTM hydrography and SRTM slope layers,file:/raid/geodata/coverages/mg/stream_gradient/streamGradientMg.tif,raster,habitat:StreamGradient,measurement:Measurement,°,EPSG:4326,EPSG:4326,Public,Yes,Ferd to double check but should be OK here,
,wetlands_mg,wetlands_mg,Derived from Foiben-Taosarintanini Madagasikara (FTM) land cover map,file:/raid/geodata/coverages/mg/wetlands/wetlands.tif,raster,habitat:Wetland,measurement:BinaryCoding,,EPSG:32738,EPSG:32738,Public,Yes,Ferd to double check but should be OK here,
,mg,,PostGIS database: mg,postgis:mg,,,,,,,,,,
,,buffer_mg_100km,100 km buffer for calculating source value for coastal protection,postgis:/raid/geodata/data/mg/coast/coast_buffer_100km.shp,line,coastalProtection:BufferMg100km,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Need a French speaker to check on this one.,
#,,dist_to_coast_mg,Derived from FTM coastline data,postgis:/raid/geodata/data/mg/coast/DistToCoast_Clip.shp,polygon,fisheries:DistanceToCoast,measurement:Measurement,km,EPSG:29700,EPSG:29700,Public,Yes,Ferd to double check but should be OK here,
,,dunes_mg,Foiben-Taosarintanini Madagasikara (FTM),postgis:/raid/geodata/data/mg/infrastructure/Shapefiles/taludune_Project.shp,line,geofeatures:Dune,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,Ferd to double check but should be OK here,
,,estuary_area_mg,Derived from FTM hydrography data,postgis:/raid/geodata/data/mg/rivers/Estuary.shp,polygon,fisheries:EstuaryArea,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,Ferd to double check but should be OK here,
,,hydrography_mg,Foiben-Taosarintanini Madagasikara (FTM),postgis:/raid/geodata/data/mg/rivers/hyd_ca_Project.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Ferd to double check but should be OK here,
,,paths_mg,Foiben-Taosarintanini Madagasikara (FTM),postgis:/raid/geodata/data/mg/infrastructure/Shapefiles/piste_ch_Project.shp,line,infrastructure:Path,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Ferd to double check but should be OK here,
,,storm_tracks2_mg,Storm tracks for Madagascar,postgis:/raid/geodata/data/mg/storm_tracks/mgStorms2.shp,line,coastalProtection:StormTracks,observation:Categorization,,EPSG:4326,EPSG:4326,UNCERTAIN,UNCERTAIN,No useful information on RAID: some metadata but nothing on distribution,
mexico,,,,,,,,,,,,,,
,agricultural_water_users_la,agricultural_use_la,Rasterized point locations of agricultural water users,file:/raid/geodata/coverages/mexico/La_Antigua/agricultural_use.tif,raster,waterSupplyService:AgriculturalWaterUse,measurement:Measurement,mm,EPSG:32614,EPSG:32614,Private,No,Leaving these as private since we have zero metadata,
,aquaculture_water_users_la,aquacultural_use_la,Rasterized point locations of acquacultureal water users,file:/raid/geodata/coverages/mexico/La_Antigua/aquacultural_use.tif,raster,waterSupplyService:AquaculturalWaterUse,measurement:Measurement,mm,EPSG:32614,EPSG:32614,Private,No,Leaving these as private since we have zero metadata,
,industrial_water_users_la,industrial_use_la,Rasterized point locations of industrial water users,file:/raid/geodata/coverages/mexico/La_Antigua/industrial_use.tif,raster,waterSupplyService:IndustrialWaterUse,measurement:Measurement,mm,EPSG:32614,EPSG:32614,Private,No,Leaving these as private since we have zero metadata,
,non_rival_water_users_la,non_rival_use_la,Rasterized point locations of dams and recreational water use,file:/raid/geodata/coverages/mexico/La_Antigua/Non_Rival_Use.tif,raster,waterSupplyService:NonRivalWaterUseCode,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Generated by the ARIES Consortium,
,residential_water_users_la,residential_use_la,Rasterized point locations of residential water users,file:/raid/geodata/coverages/mexico/La_Antigua/residential_use.tif,raster,waterSupplyService:ResidentialWaterUse,measurement:Measurement,mm,EPSG:32614,EPSG:32614,Private,No,Leaving these as private since we have zero metadata,
,surface_water_proximity_la,surface_water_prox_la,Buffered hydrography layer to get distance to water,file:/raid/geodata/coverages/mexico/La_Antigua/surface_water_proximity.tif,raster,waterSupplyService:ProximityToSurfaceWater,measurement:Measurement,m,EPSG:32614,EPSG:32614,Public,Yes,Generated by the ARIES Consortium,
,mexico,,PostGIS database: mexico,postgis:mexico,,,,,,,,,,
,,hydrography_la,,postgis:/raid/geodata/data/mexico/La_Antigua/streams.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:32614,EPSG:32614,Public,Yes,,
,,lulc_la,,postgis:/raid/geodata/data/mexico/La_Antigua/Regional_LandUse.shp,polygon,veracruz-lulc:VeracruzLULCCategory,observation:Categorization,,EPSG:32614,EPSG:32614,Private,No,Leaving these as private since we have zero metadata,
,,lulc_mexico,Comision Nacional Para el Conocimiento y Uso de la Biodiversidad (CONABIO),postgis:/raid/geodata/data/mexico/mex_LULC/usv731mgw.shp,polygon,mexico:CONABIOLULCCategory,observation:Categorization,,EPSG:4326,EPSG:4326,Public,No,Creative Commons attribution/non-commercial license,
,,pasture_la,,postgis:/raid/geodata/data/mexico/La_Antigua/Pasture_Land.shp,polygon,waterSupplyService:Pasture,measurement:BinaryCoding,,EPSG:32614,EPSG:32614,Private,No,Leaving these as private since we have zero metadata,
,,ponds_lakes_la,,postgis:/raid/geodata/data/mexico/La_Antigua/Ponds_And_Lakes.shp,polygon,geofeatures:Lake,measurement:BinaryCoding,,EPSG:32614,EPSG:32614,Private,No,Leaving these as private since we have zero metadata,
,,water_using_ag_land_la,,postgis:/raid/geodata/data/mexico/La_Antigua/AgLand_WtrUsing1.shp,polygon,waterSupplyService:IrrigatedCropland,measurement:BinaryCoding,,EPSG:32614,EPSG:32614,Private,No,Leaving these as private since we have zero metadata,
tanzania,,,,,,,,,,,,,,
,surface_water_proximity_tz,surface_water_prox_tz,Euclidean distance from each pixel in the map to its nearest water source,file:/raid/geodata/coverages/tanzania/TZProx2SurfWat.tif,raster,waterSupplyService:ProximityToSurfaceWater,measurement:Measurement,m,EPSG:32736,EPSG:32736,Public,Yes,Generated by the ARIES Consortium,
,tanzania,,PostGIS database: tanzania,postgis:tanzania,,,,,,,,,,
,,tanzania_land_cover,Reclassed AFRICOVER land cover data,postgis:/raid/geodata/data/tanzania/TanzaniaLandCover.shp,polygon,tanzania-lulc:TanzaniaLULCCategory,observation:Categorization,,EPSG:32736,EPSG:32736,Private,No,"http://www.africover.org/data_dissemination.htm;"" With permission can use disaggregated land cover",Brian - replace existing layer with public domain one once Tanzania project restarts.
usa,,,,,,,,,,,,,,
,annual_precip_2002,precip_2002,"PRISM annual precipitation, 2002",file:/raid/geodata/coverages/united_states/PRISM_climate/Precip/Precip_2002_Annual/2002_wgs84.tif,raster,habitat:AnnualPrecipitation2002,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,annual_precip_2007,precip_2007,"PRISM annual precipitation, 2007",file:/raid/geodata/coverages/united_states/PRISM_climate/Precip/Precip_2007_Annual/2007_wgs84.tif,raster,habitat:AnnualPrecipitation2007,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,annual_temp_max_us,tmp_ann_max_us,PRISM temperature data,file:/raid/geodata/coverages/united_states/PRISM_climate/TempMax/Temp_Max_Yearly/Temp_Max_Yearly.tif,raster,geophysics:AnnualMaximumGroundSurfaceTemperature,measurement:Measurement,°C,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,biomass_nbcd,biomass_nbcd,NBCD 2000 Biomass,file:/raid/geodata/coverages/united_states/biomass/Mosaic_Bio.tif,raster,carbonService:VegetationCarbonStorage,measurement:Measurement,t/ha,EPSG:4326,EPSG:4326,Public,Yes,NBCD Biomass,
,canopy_cover_nlcd_2001,canopy_cover_nlcd_2001,NLCD Tree Canopy 2001,file:/raid/geodata/coverages/united_states/nlcd2001_canopy/NLCD_US_TC.tif,raster,habitat:PercentTreeCanopyCover,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,,
,canopy_height_us_2001,canopy_height_us_2001,Landfire2001 Tree Canopy Height,file:/raid/geodata/coverages/united_states/tree_canopy_height/Canopy_Height.tif,raster,habitat:VegetationHeight,measurement:Measurement,ft,EPSG:4326,EPSG:4326,Public,Yes,LANDFIRE data product,
,canopy_height_us_2008,canopy_height_us_2008,Landfire2008 Tree Canopy Height,file:/raid/geodata/coverages/united_states/tree_canopy_height/Canopy_H_2008.tif,raster,habitat:VegetationHeight,measurement:Measurement,ft,EPSG:4326,EPSG:4326,Public,Yes,LANDFIRE data product,
,fire_return_interval_us_2001,fire_return_interval_us_2001,Landfire2001 Fire Return Interval,file:/raid/geodata/coverages/united_states/fire_return_interval/FRI_2001.tif,raster,habitat:FireThreat,measurement:NumericCoding,,EPSG:4326,EPSG:4326,Public,Yes,LANDFIRE data product,
,fire_return_interval_us_2008,fire_return_interval_us_2008,Landfire2008 Fire Return Interval,file:/raid/geodata/coverages/united_states/fire_return_interval/FRI_2008.tif,raster,habitat:FireThreat,measurement:NumericCoding,,EPSG:4326,EPSG:4326,Public,Yes,LANDFIRE data product,
,floodplain_width,floodplain_width,Floodplain Width FEMA,file:/raid/geodata/coverages/united_states/floodplain_width/US_Fld_Width_Final.tif,raster,habitat:FloodplainWidth,measurement:Measurement,dd,EPSG:4269,EPSG:4269,Public,Yes,FEMA data,
,greenhouse_gas_emissions_us,ghg_emissions_us,Purdue University VULCAN Project GHG emissions data,file:/raid/geodata/coverages/united_states/ghg_Emissions/GHGHiRes.tif,raster,carbonService:GreenhouseGasEmissions,measurement:Measurement,t/ha*year,EPSG:4326,EPSG:4326,Uncertain,Uncertain,,Emailed VULCAN team on 1/21/12 on redistribution http://vulcan.project.asu.edu/communicate.php
,groundwater_recharge_us,gw_recharge_us,USGS WRD NDSI groundwater recharge,file:/raid/geodata/coverages/united_states/recharge/groundwater_recharge.tif,raster,habitat:AnnualRecharge,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Public,Yes,USGS product,
,hsg_statsgo,hsg_statsgo,STATSGO hydrologic soils group,file:/raid/geodata/coverages/united_states/statsgo_soils/HSG4.tif,raster,habitat:HydrologicSoilsGroup,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,Yes,USDA-NRCS product,
#,hsg_ssurgo,hsg_ssurgo,SSURGO hydrologic soils group,file:/raid/geodata/coverages/united_states/ssurgo_soils/HYDRO2_TIF,raster,habitat:HydrologicSoilsGroup,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,USDA-NRCS product,
,impervious_nlcd_2001,impervious_nlcd_2001,NLCD Impervious 2001,file:/raid/geodata/coverages/united_states/nlcd2001_impervious/NLCD_US_Im.tif,raster,habitat:PercentImperviousSurface,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,,
,impervious_nlcd_2006,impervious_nlcd_2006,NLCD Impervious 2006,file:/raid/geodata/coverages/united_states/nlcd2006_impervious/NLCD06_US_Im.tif,raster,habitat:PercentImperviousSurface,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,,
,mean_annual_precip_us,annual_precip_us,PRISM mean annual precipitation,file:/raid/geodata/coverages/united_states/PRISM_climate/Precip/Precip_Avg_Yearly/PrecipAvgYearly.tif,raster,habitat:AnnualPrecipitation,measurement:Measurement,mm,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,mean_days_precip_annual,mean_days_precip_annual,NOAA-National Climatic Data Center,file:/raid/geodata/coverages/united_states/mean_days_precip/DaysAnnual.tif,raster,habitat:AnnualDaysOfPrecipitation,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,No,Metadata at http://www.climatesource.com/us/fact_sheets/meta_wetdays_us.html; PRISM-generated,
,mean_days_precip_dec,mean_days_precip_dec,NOAA-National Climatic Data Center,file:/raid/geodata/coverages/united_states/mean_days_precip/DaysDec.tif,raster,habitat:DecemberDaysOfPrecipitation,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,No,Metadata at http://www.climatesource.com/us/fact_sheets/meta_wetdays_us.html; PRISM-generated,
,mean_days_precip_jan,mean_days_precip_jan,NOAA-National Climatic Data Center,file:/raid/geodata/coverages/united_states/mean_days_precip/DaysJan.tif,raster,habitat:JanuaryDaysOfPrecipitation,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,No,Metadata at http://www.climatesource.com/us/fact_sheets/meta_wetdays_us.html; PRISM-generated,
,monthly_temp_dec_us,tmp_dec_us,PRISM temperature data,file:/raid/geodata/coverages/united_states/PRISM_climate/TempMax/Temp_Max_Dec/Temp_Max_Dec.tif,raster,geophysics:DecemberMaximumGroundSurfaceTemperature,measurement:Measurement,°C,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,monthly_temp_jan_us,tmp_jan_us,PRISM temperature data,file:/raid/geodata/coverages/united_states/PRISM_climate/TempMax/Temp_Max_Jan/Temp_Max_Jan.tif,raster,geophysics:JanuaryMaximumGroundSurfaceTemperature,measurement:Measurement,°C,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,nlcd_2001,nlcd_2001,NLCD Landcover 2001,file:/raid/geodata/coverages/united_states/nlcd2001/NLCD_US_LC.tif,raster,nlcd:NLCDNumeric,measurement:NumericCoding,,EPSG:4326,EPSG:4326,Public,Yes,,
,nlcd_2006,nlcd_2006,NLCD Landcover 2006,file:/raid/geodata/coverages/united_states/nlcd2006/NLCD06_US_LC.tif,raster,nlcd:NLCDNumeric,measurement:NumericCoding,,EPSG:4326,EPSG:4326,Public,Yes,,
,NW_GAP_LULC,NW_GAP_LULC,USGS NW GAP Landcover 2008,file:/raid/geodata/coverages/united_states/NW_GAP/NW_GAP.tif,raster,puget:NorthwestGapAnalysisLULC,measurement:NumericCoding,,EPSG:4326,EPSG:4326,Public,Yes,USGS data,
,soil_depth_statsgo,soil_depth_statsgo,STATSGO soil depth,file:/raid/geodata/coverages/united_states/statsgo_soils/soil_depth.tif,raster,habitat:SoilDepth,measurement:Measurement,cm,EPSG:4269,EPSG:4269,Public,Yes,USDA-NRCS product,
,soil_erodibility_statsgo,soil_erodibility_statsgo,STATSGO whole-soil k factor,file:/raid/geodata/coverages/united_states/statsgo_soils/erodibility4.tif,raster,habitat:SoilErodibility,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,Yes,USDA-NRCS product,
#,soil_erodibility_ssurgo,soil_erodibility_ssurgo,SSURGO k factor,file:/raid/geodata/coverages/united_states/ssurgo_soils/KFFACT_TIF,raster,habitat:SoilErodibility,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,USDA-NRCS product,
#,soil_organic_carbon_ssurgo,soil_organic_carbon_ssurgo,SSURGO soil organic carbon,file:/raid/geodata/coverages/united_states/ssurgo_soils/SOC_TIF,raster,carbonService:SoilCarbonStorage,measurement:Measurement,kg/m^2,EPSG:4326,EPSG:4326,Public,Yes,USDA-NRCS product,
,soil_pH_0_30_statsgo_a,soil_pH_0_30_statsgo_a,"STATSGO soil pH, 0-30 cm depth",file:/raid/geodata/coverages/united_states/statsgo_soils/pH_0_30_a2.tif,raster,habitat:SoilPhShallow,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,Yes,USDA-NRCS product,
,soil_pH_0_30_statsgo_b,soil_pH_0_30_statsgo_b,"STATSGO soil pH, 0-30 cm depth",file:/raid/geodata/coverages/united_states/statsgo_soils/ph_0_30_b2.tif,raster,habitat:SoilPhShallow,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,Yes,USDA-NRCS product,
,soil_pH_0_30_statsgo_c,soil_pH_0_30_statsgo_c,"STATSGO soil pH, 0-30 cm depth",file:/raid/geodata/coverages/united_states/statsgo_soils/pH_0_30_c2.tif,raster,habitat:SoilPhShallow,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,Yes,USDA-NRCS product,
,soil_pH_0_30_statsgo_d,soil_pH_0_30_statsgo_d,"STATSGO soil pH, 0-30 cm depth",file:/raid/geodata/coverages/united_states/statsgo_soils/pH_0_30_d2.tif,raster,habitat:SoilPhShallow,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,Yes,USDA-NRCS product,
,soil_pH_30_100_statsgo_a,soil_pH_30_100_statsgo_a,"STATSGO soil pH, 30-100 cm depth",file:/raid/geodata/coverages/united_states/statsgo_soils/pH_30_100a2.tif,raster,habitat:SoilPhDeep,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,Yes,USDA-NRCS product,
,soil_pH_30_100_statsgo_b,soil_pH_30_100_statsgo_b,"STATSGO soil pH, 30-100 cm depth",file:/raid/geodata/coverages/united_states/statsgo_soils/pH_30_100b2.tif,raster,habitat:SoilPhDeep,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,Yes,USDA-NRCS product,
,soil_texture_statsgo,soil_texture_statsgo,STATSGO soil texture,file:/raid/geodata/coverages/united_states/statsgo_soils/texture3.tif,raster,habitat:SoilTexture,measurement:NumericCoding,,EPSG:4269,EPSG:4269,Public,Yes,USDA-NRCS product,
#,soil_texture_ssurgo_pctclay,soil_texture_ssurgo_pctclay,SSURGO percent clay,file:/raid/geodata/coverages/united_states/ssurgo_soils/Clay_TIF,raster,habitat:PercentClay,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,USDA-NRCS product,
#,soil_texture_ssurgo_pctsand,soil_texture_ssurgo_pctsand,SSURGO percent sand,file:/raid/geodata/coverages/united_states/ssurgo_soils/Sand_TIF,raster,habitat:PercentSand,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,USDA-NRCS product,
#,soil_texture_ssurgo_pctsilt,soil_texture_ssurgo_pctsilt,SSURGO percent silt,file:/raid/geodata/coverages/united_states/ssurgo_soils/Silt_TIF,raster,habitat:PercentSilt,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,USDA-NRCS product,
,successional_stage_us_2001,successional_stage_us_2001,Landfire2001 Successional Stage,file:/raid/geodata/coverages/united_states/succession/S_Stage_01.tif,raster,ecology:SuccessionalStage,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,LANDFIRE data product,
,successional_stage_us_2008,successional_stage_us_2008,Landfire2008 Successional Stage,file:/raid/geodata/coverages/united_states/succession/S_Stage_2008.tif,raster,ecology:SuccessionalStage,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,LANDFIRE data product,
,sum_hi_wint_lo_hadleyA2_2030,sum_hi_wint_lo_hadley_A2,NCAR climate model data,file:/raid/geodata/coverages/united_states/climate_change/HadleyA2_2030/mmin_tenths/SumHiWintLowHadleyA2.tif,raster,habitat:SummerHighWinterLow,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,Yes,See http://www.gisclimatechange.org/disclaimer.do;jsessionid=0DBBE6DEED4E10D221F6689CCD175227; redistribution must include the statement at that link.,
,sum_hi_wint_lo_hadleyB2_2030,sum_hi_wint_lo_hadley_B2,NCAR climate model data,file:/raid/geodata/coverages/united_states/climate_change/HadleyB2_2030/SumHiWintLowHadleyB2.tif,raster,habitat:SummerHighWinterLow,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,Yes,See http://www.gisclimatechange.org/disclaimer.do;jsessionid=0DBBE6DEED4E10D221F6689CCD175227; redistribution must include the statement at that link.,
,summer_hi_winter_lo_us,sum_hi_wint_lo_us,PRISM temperature data,file:/raid/geodata/coverages/united_states/PRISM_climate/SummerHiWinterLoUS.tif,raster,habitat:SummerHighWinterLow,measurement:Ranking,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,woody_debris,woody_debris_us,NASA-CASA CQUEST carbon pool data,file:/raid/geodata/coverages/united_states/carbon_pools/wd_det_1km_Project.tif,raster,habitat:WoodyDebris,measurement:Measurement,g/m^2,EPSG:4326,EPSG:4326,Public,Yes,NASA product,
,usa,,PostGIS database: usa,postgis:usa,,,,,,,,,,
,,airports,National Transportation Atlas Database,postgis:/raid/geodata/data/united_states/airports/airports.shp,polygon,infrastructure:Airport,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Federal agency product,
,,census_2000_pop_den,US Census 2000 Block Groups,postgis:/raid/geodata/data/united_states/census_2000/US_Census_2000.shp,polygon,policytarget:PopulationDensity,measurement:Count,/km^2,EPSG:4269,EPSG:4269,Public,Yes,Census Bureau product,
,,census_2010_pop_den,US Census 2010 Block Groups,postgis:/raid/geodata/data/united_states/census_2010/US_Census_2010.shp,polygon,policytarget:PopulationDensity,measurement:Count,/km^2,EPSG:4269,EPSG:4269,Public,Yes,Census Bureau product,
,,dams_us,,postgis:/raid/geodata/data/united_states/dams/dams00x020Copy.shp,point,floodService:DamStorage,measurement:BinaryCoding,,EPSG:4269,EPSG:4269,Public,Yes,Federal agency product,
,,erosion_metrics_western_us,U.S. EPA EMAP-West Metric Browser,postgis:/raid/geodata/data/united_states/erosion/huc8watershedMetrics_Project.shp,polygon,soilRetentionService:ConservationPractice,measurement:Ranking,,EPSG:2927,EPSG:2927,Public,Yes,EPA product,
,,geology_us,US Base Geology,postgis:/raid/geodata/data/united_states/geology/Geology_US.shp,polygon,,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,USGS data,
,,highways_scenic,"Digitized scenic drives for eastern AZ, VT and western WA from TIGER line files and scenic drives noted in the Rand McNally road atlas",postgis:/raid/geodata/data/united_states/highways/highways_Scenic.shp,line,aestheticService:ScenicDrives,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Generated by the ARIES Consortium,
,,highways_us,TIGER/Line 2000 Streets,postgis:/raid/geodata/data/united_states/highways/highways.shp,line,infrastructure:Highway,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Census Bureau product,
,,hydrography_us,National Hydrography Dataset,postgis:/raid/geodata/data/united_states/hydrography/US_Hydrography.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,USGS data,
,,landslide_us,,postgis:/raid/geodata/data/united_states/landslide_risk/lsoverp020.shp,polygon,soilRetentionService:SlopeStability,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,USGS data,
,,levees2_us,FEMA Levee Data,postgis:/raid/geodata/data/united_states/levees/Gen_Struct_Repro.shp,line,infrastructure:Levee,observation:Categorization,,EPSG:4269,EPSG:4269,Public,Yes,FEMA data,
,,railroads,,postgis:/raid/geodata/data/united_states/railways/railroads.shp,line,infrastructure:Railway,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Census Bureau product,
,,state_trust_land,State Trust Lands,postgis:/raid/geodata/data/united_states/state_trust_lands/US_State_Trust.shp,polygon,,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,State by State Downloads,
